order_date_col,order categorical feature 1,order categorical feature 2,order categorical feature 3,join_col
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #2419,order categorical feature 3 #381,302
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #2419,order categorical feature 3 #317,5694
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #8434,order categorical feature 3 #19,6720
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #8434,order categorical feature 3 #128,9679
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #7384,order categorical feature 3 #112,8917
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #7352,order categorical feature 3 #93,9499
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #7352,order categorical feature 3 #464,4656
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #7990,order categorical feature 3 #147,446
1992-02-18,order categorical feature 1 #1,order categorical feature 2 #8771,order categorical feature 3 #489,8035
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #4344,order categorical feature 3 #104,8693
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #2351,order categorical feature 3 #292,2678
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #721,order categorical feature 3 #376,7651
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #8282,order categorical feature 3 #84,8023
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #983,order categorical feature 3 #122,5909
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #1406,order categorical feature 3 #169,5539
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #4687,order categorical feature 3 #430,8636
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #121,order categorical feature 3 #461,9494
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #121,order categorical feature 3 #17,2731
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #4057,order categorical feature 3 #70,8643
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #4057,order categorical feature 3 #492,4215
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #1630,order categorical feature 3 #295,403
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #5147,order categorical feature 3 #15,9485
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #1741,order categorical feature 3 #37,24
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #7854,order categorical feature 3 #447,6219
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #3866,order categorical feature 3 #14,9707
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #6442,order categorical feature 3 #144,512
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #5117,order categorical feature 3 #425,7673
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #7243,order categorical feature 3 #498,7900
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #687,order categorical feature 3 #19,7756
1992-02-17,order categorical feature 1 #1,order categorical feature 2 #7179,order categorical feature 3 #241,7193
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #2458,order categorical feature 3 #392,9385
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #2458,order categorical feature 3 #173,4395
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #4477,order categorical feature 3 #312,9693
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #6333,order categorical feature 3 #446,3436
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #6333,order categorical feature 3 #447,5431
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #3189,order categorical feature 3 #489,8406
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #3194,order categorical feature 3 #19,5202
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #855,order categorical feature 3 #428,9579
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #855,order categorical feature 3 #68,8055
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #5193,order categorical feature 3 #144,8530
1992-02-17,order categorical feature 1 #7,order categorical feature 2 #4474,order categorical feature 3 #288,5891
1992-02-17,order categorical feature 1 #2,order categorical feature 2 #4635,order categorical feature 3 #385,7342
